,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
1647,Nhiễm trùng nấm,ngứa,phát ban da,,
1648,Nhiễm trùng nấm,ngứa,phát ban da,nổi mụn nút trên da,
1649,Nhiễm trùng nấm,ngứa,phát ban da,nổi mụn nút trên da,
1650,Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,chảy nước mắt
1651,Dị ứng,run rẩy,ớn lạnh,chảy nước mắt,
1652,Dị ứng,hắt hơi liên tục,ớn lạnh,chảy nước mắt,
1653,Dị ứng,hắt hơi liên tục,run rẩy,chảy nước mắt,
1654,Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,
1655,Dị ứng,run rẩy,ớn lạnh,chảy nước mắt,
1656,Dị ứng,hắt hơi liên tục,ớn lạnh,chảy nước mắt,
1657,Dị ứng,hắt hơi liên tục,run rẩy,chảy nước mắt,
1658,Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,
1659,Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,chảy nước mắt
1660,Bệnh trào ngược dạ dày,đau bụng,ợ chua,loét trên miệng,nôn mửa
1661,Bệnh trào ngược dạ dày,đau bụng,loét trên miệng,nôn mửa,ho
1662,Bệnh trào ngược dạ dày,đau bụng,ợ chua,nôn mửa,ho
1663,Bệnh trào ngược dạ dày,đau bụng,ợ chua,loét trên miệng,ho
1664,Bệnh trào ngược dạ dày,đau bụng,ợ chua,loét trên miệng,nôn mửa
1665,Bệnh trào ngược dạ dày,đau bụng,ợ chua,loét trên miệng,nôn mửa
1666,Bệnh trào ngược dạ dày,ợ chua,loét trên miệng,nôn mửa,ho
1667,Bệnh trào ngược dạ dày,đau bụng,loét trên miệng,nôn mửa,ho
1668,Bệnh trào ngược dạ dày,đau bụng,ợ chua,nôn mửa,ho
1669,Bệnh trào ngược dạ dày,đau bụng,ợ chua,loét trên miệng,ho
1670,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
1671,Ứ mật mãn tính,nôn mửa,vàng da,buồn nôn,không thèm ăn
1672,Ứ mật mãn tính,ngứa,vàng da,buồn nôn,không thèm ăn
1673,Ứ mật mãn tính,ngứa,nôn mửa,buồn nôn,không thèm ăn
1674,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,không thèm ăn
1675,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
1676,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
1677,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
1678,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
1679,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
1680,Phản ứng thuốc,ngứa,phát ban da,đau bụng,đi tiểu rát
1681,Phản ứng thuốc,ngứa,đau bụng,đi tiểu rát,đi tiểu thẫm
1682,Phản ứng thuốc,ngứa,phát ban da,đi tiểu rát,đi tiểu thẫm
1683,Phản ứng thuốc,ngứa,phát ban da,đau bụng,đi tiểu thẫm
1684,Phản ứng thuốc,ngứa,phát ban da,đau bụng,đi tiểu rát
1685,Phản ứng thuốc,phát ban da,đau bụng,đi tiểu rát,đi tiểu thẫm
1686,Phản ứng thuốc,ngứa,đau bụng,đi tiểu rát,đi tiểu thẫm
1687,Phản ứng thuốc,ngứa,phát ban da,đi tiểu rát,đi tiểu thẫm
1688,Phản ứng thuốc,ngứa,phát ban da,đau bụng,đi tiểu thẫm
1689,Phản ứng thuốc,ngứa,phát ban da,đau bụng,đi tiểu rát
1690,Bệnh loét dạ dày tá tràng,nôn mửa,không thèm ăn,đau bụng,xì hơi
1691,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,đau bụng,xì hơi
1692,Bệnh loét dạ dày tá tràng,khó tiêu,không thèm ăn,đau bụng,xì hơi
1693,Bệnh loét dạ dày tá tràng,nôn mửa,không thèm ăn,đau bụng,xì hơi
1694,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,đau bụng,xì hơi
1695,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,không thèm ăn,xì hơi
1696,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,không thèm ăn,đau bụng
1697,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,không thèm ăn,đau bụng
1698,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,không thèm ăn,đau bụng
1699,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,không thèm ăn,đau bụng
1700,AIDS,suy giảm cơ,có đờm trong họng,sốt cao,quan hệ tình dục linh tinh
1701,AIDS,có đờm trong họng,sốt cao,quan hệ tình dục linh tinh,
1702,AIDS,suy giảm cơ,sốt cao,quan hệ tình dục linh tinh,
1703,AIDS,suy giảm cơ,có đờm trong họng,quan hệ tình dục linh tinh,
1704,AIDS,suy giảm cơ,có đờm trong họng,sốt cao,
1705,AIDS,suy giảm cơ,có đờm trong họng,sốt cao,quan hệ tình dục linh tinh
1706,AIDS,suy giảm cơ,có đờm trong họng,sốt cao,quan hệ tình dục linh tinh
1707,AIDS,có đờm trong họng,sốt cao,quan hệ tình dục linh tinh,
1708,AIDS,suy giảm cơ,sốt cao,quan hệ tình dục linh tinh,
1709,AIDS,suy giảm cơ,có đờm trong họng,sốt cao,
1710,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
1711,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
1712,Bệnh tiểu đường,tụt cân,bồn chồn,hôn mê,mức đường huyết không đều
1713,Bệnh tiểu đường,mệt mỏi,bồn chồn,hôn mê,mức đường huyết không đều
1714,Bệnh tiểu đường,mệt mỏi,tụt cân,hôn mê,mức đường huyết không đều
1715,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,mức đường huyết không đều
1716,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
1717,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
1718,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
1719,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
1720,Viêm dạ dày ruột,nôn mửa,mắt thâm,mất nước,tiêu chảy
1721,Viêm dạ dày ruột,nôn mửa,mắt thâm,mất nước,tiêu chảy
1722,Viêm dạ dày ruột,mắt thâm,mất nước,tiêu chảy,
1723,Viêm dạ dày ruột,nôn mửa,mất nước,tiêu chảy,
1724,Viêm dạ dày ruột,nôn mửa,mắt thâm,tiêu chảy,
1725,Viêm dạ dày ruột,nôn mửa,mắt thâm,mất nước,
1726,Viêm dạ dày ruột,nôn mửa,mắt thâm,mất nước,tiêu chảy
1727,Viêm dạ dày ruột,mắt thâm,mất nước,tiêu chảy,
1728,Viêm dạ dày ruột,nôn mửa,mất nước,tiêu chảy,
1729,Viêm dạ dày ruột,nôn mửa,mắt thâm,tiêu chảy,
1730,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
1731,Hen phế quản,ho,sốt cao,khó thở,di tuyền gia đình
1732,Hen phế quản,mệt mỏi,sốt cao,khó thở,di tuyền gia đình
1733,Hen phế quản,mệt mỏi,ho,khó thở,di tuyền gia đình
1734,Hen phế quản,mệt mỏi,ho,sốt cao,di tuyền gia đình
1735,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
1736,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
1737,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
1738,Hen phế quản,ho,sốt cao,khó thở,di tuyền gia đình
1739,Hen phế quản,mệt mỏi,sốt cao,khó thở,di tuyền gia đình
1740,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,chóng mặt
1741,Tăng huyết áp,đau ngực,chóng mặt,chóng mặt,mất tập trung
1742,Tăng huyết áp,đau đầu,chóng mặt,chóng mặt,mất tập trung
1743,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,mất tập trung
1744,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,mất tập trung
1745,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,chóng mặt
1746,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,chóng mặt
1747,Tăng huyết áp,đau ngực,chóng mặt,chóng mặt,mất tập trung
1748,Tăng huyết áp,đau đầu,chóng mặt,chóng mặt,mất tập trung
1749,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,mất tập trung
1750,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
1751,Chứng đau nửa đầu,khó tiêu,đau đầu,thị lực mờ,cảm giác đói quá mức
1752,Chứng đau nửa đầu,ợ chua,đau đầu,thị lực mờ,cảm giác đói quá mức
1753,Chứng đau nửa đầu,ợ chua,khó tiêu,thị lực mờ,cảm giác đói quá mức
1754,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,cảm giác đói quá mức
1755,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
1756,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
1757,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
1758,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
1759,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
1760,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
1761,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
1762,Thoái hóa đốt sống cổ,mỏi chân tay,đau cổ,chóng mặt,chóng mặt
1763,Thoái hóa đốt sống cổ,đau lưng,đau cổ,chóng mặt,chóng mặt
1764,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,chóng mặt,chóng mặt
1765,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
1766,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
1767,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
1768,Thoái hóa đốt sống cổ,mỏi chân tay,đau cổ,chóng mặt,chóng mặt
1769,Thoái hóa đốt sống cổ,đau lưng,đau cổ,chóng mặt,chóng mặt
1770,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,lú lẫn
1771,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,lú lẫn
1772,Liệt (xuất huyết não),đau đầu,yếu một bên cơ thể,lú lẫn,
1773,Liệt (xuất huyết não),nôn mửa,yếu một bên cơ thể,lú lẫn,
1774,Liệt (xuất huyết não),nôn mửa,đau đầu,lú lẫn,
1775,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,
1776,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,lú lẫn
1777,Liệt (xuất huyết não),đau đầu,yếu một bên cơ thể,lú lẫn,
1778,Liệt (xuất huyết não),nôn mửa,yếu một bên cơ thể,lú lẫn,
1779,Liệt (xuất huyết não),nôn mửa,đau đầu,lú lẫn,
1780,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
1781,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
1782,Vàng da,nôn mửa,mệt mỏi,tụt cân,sốt cao
1783,Vàng da,ngứa,mệt mỏi,tụt cân,sốt cao
1784,Vàng da,ngứa,nôn mửa,tụt cân,sốt cao
1785,Vàng da,ngứa,nôn mửa,mệt mỏi,sốt cao
1786,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
1787,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
1788,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
1789,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
1790,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
1791,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
1792,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
1793,Sốt rét,nôn mửa,sốt cao,đổ mồ hôi,đau đầu
1794,Sốt rét,ớn lạnh,sốt cao,đổ mồ hôi,đau đầu
1795,Sốt rét,ớn lạnh,nôn mửa,đổ mồ hôi,đau đầu
1796,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đau đầu
1797,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
1798,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
1799,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
1800,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
1801,Thủy đậu,phát ban da,mệt mỏi,hôn mê,sốt cao
1802,Thủy đậu,ngứa,mệt mỏi,hôn mê,sốt cao
1803,Thủy đậu,ngứa,phát ban da,hôn mê,sốt cao
1804,Thủy đậu,ngứa,phát ban da,mệt mỏi,sốt cao
1805,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
1806,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
1807,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
1808,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
1809,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
1810,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
1811,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
1812,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
1813,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
1814,Sốt xuất huyết,ớn lạnh,đau khớp,nôn mửa,mệt mỏi
1815,Sốt xuất huyết,phát ban da,đau khớp,nôn mửa,mệt mỏi
1816,Sốt xuất huyết,phát ban da,ớn lạnh,nôn mửa,mệt mỏi
1817,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,mệt mỏi
1818,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
1819,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
1820,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
1821,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
1822,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
1823,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
1824,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
1825,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
1826,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
1827,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
1828,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
1829,Bệnh thương hàn,ớn lạnh,mệt mỏi,sốt cao,đau đầu
1830,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
1831,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
1832,Viêm gan A,nôn mửa,vàng da,nước tiểu sẫm màu,buồn nôn
1833,Viêm gan A,đau khớp,vàng da,nước tiểu sẫm màu,buồn nôn
1834,Viêm gan A,đau khớp,nôn mửa,nước tiểu sẫm màu,buồn nôn
1835,Viêm gan A,đau khớp,nôn mửa,vàng da,buồn nôn
1836,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
1837,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
1838,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
1839,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
1840,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
1841,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
1842,Viêm gan B,mệt mỏi,hôn mê,vàng da,nước tiểu sẫm màu
1843,Viêm gan B,ngứa,hôn mê,vàng da,nước tiểu sẫm màu
1844,Viêm gan B,ngứa,mệt mỏi,vàng da,nước tiểu sẫm màu
1845,Viêm gan B,ngứa,mệt mỏi,hôn mê,nước tiểu sẫm màu
1846,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
1847,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
1848,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
1849,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
1850,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
1851,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
1852,Viêm gan C,vàng da,buồn nôn,không thèm ăn,mắt vàng
1853,Viêm gan C,mệt mỏi,buồn nôn,không thèm ăn,mắt vàng
1854,Viêm gan C,mệt mỏi,vàng da,không thèm ăn,mắt vàng
1855,Viêm gan C,mệt mỏi,vàng da,buồn nôn,mắt vàng
1856,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
1857,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
1858,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
1859,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
1860,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
1861,Viêm gan D,nôn mửa,mệt mỏi,vàng da,nước tiểu sẫm màu
1862,Viêm gan D,đau khớp,mệt mỏi,vàng da,nước tiểu sẫm màu
1863,Viêm gan D,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
1864,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,nước tiểu sẫm màu
1865,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
1866,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
1867,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
1868,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
1869,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
1870,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
1871,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
1872,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
1873,Viêm gan E,nôn mửa,mệt mỏi,sốt cao,vàng da
1874,Viêm gan E,đau khớp,mệt mỏi,sốt cao,vàng da
1875,Viêm gan E,đau khớp,nôn mửa,sốt cao,vàng da
1876,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,vàng da
1877,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
1878,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
1879,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
1880,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
1881,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
1882,Viêm gan Do rượu,vàng da,đau bụng,sưng dạ dày,chướng bụng
1883,Viêm gan Do rượu,nôn mửa,đau bụng,sưng dạ dày,chướng bụng
1884,Viêm gan Do rượu,nôn mửa,vàng da,sưng dạ dày,chướng bụng
1885,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,chướng bụng
1886,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
1887,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
1888,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
1889,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
1890,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
1891,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
1892,Bệnh lao,nôn mửa,mệt mỏi,tụt cân,ho
1893,Bệnh lao,ớn lạnh,mệt mỏi,tụt cân,ho
1894,Bệnh lao,ớn lạnh,nôn mửa,tụt cân,ho
1895,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,ho
1896,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
1897,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
1898,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
1899,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
1900,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
1901,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
1902,Cảm lạnh thông thường,ớn lạnh,mệt mỏi,ho,sốt cao
1903,Cảm lạnh thông thường,hắt hơi liên tục,mệt mỏi,ho,sốt cao
1904,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,ho,sốt cao
1905,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,sốt cao
1906,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
1907,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
1908,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
1909,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
1910,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
1911,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
1912,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
1913,Viêm phổi,mệt mỏi,ho,sốt cao,khó thở
